date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:19:56	12252/12252	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%226281f288-2fdc%22	https://demo.egenslab.com/html/creasoft/preview/assets/img/logo.svg	C:/Users/PC/Downloads/final%20one/demo.egenslab.com/html/creasoft/preview/assets/img/logo.svg	(from https://demo.egenslab.com/html/creasoft/preview/index.html)
15:19:56	12285/12285	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%226281f288-2ffd%22	https://demo.egenslab.com/html/creasoft/preview/assets/img/logo-dark.svg	C:/Users/PC/Downloads/final%20one/demo.egenslab.com/html/creasoft/preview/assets/img/logo-dark.svg	(from https://demo.egenslab.com/html/creasoft/preview/index.html)
15:19:56	32298/32298	---MCZ	200	added ('OK')	text/html	date:Mon,%2016%20May%202022%2006:42:54%20GMT	https://demo.egenslab.com/html/creasoft/preview/index2.html	C:/Users/PC/Downloads/final%20one/demo.egenslab.com/html/creasoft/preview/index2.html	(from https://demo.egenslab.com/html/creasoft/preview/index.html)
15:19:56	27201/27201	---MCZ	200	added ('OK')	text/html	date:Mon,%2016%20May%202022%2006:42:57%20GMT	https://demo.egenslab.com/html/creasoft/preview/about.html	C:/Users/PC/Downloads/final%20one/demo.egenslab.com/html/creasoft/preview/about.html	(from https://demo.egenslab.com/html/creasoft/preview/index.html)
15:19:57	20011/20011	---MCZ	200	added ('OK')	text/html	date:Mon,%2016%20May%202022%2006:42:56%20GMT	https://demo.egenslab.com/html/creasoft/preview/service.html	C:/Users/PC/Downloads/final%20one/demo.egenslab.com/html/creasoft/preview/service.html	(from https://demo.egenslab.com/html/creasoft/preview/index.html)
15:19:57	13003/13003	---MCZ	200	added ('OK')	text/html	date:Mon,%2016%20May%202022%2006:42:56%20GMT	https://demo.egenslab.com/html/creasoft/preview/service-details.html	C:/Users/PC/Downloads/final%20one/demo.egenslab.com/html/creasoft/preview/service-details.html	(from https://demo.egenslab.com/html/creasoft/preview/index.html)
15:19:57	12830/12830	---MCZ	200	added ('OK')	text/html	date:Mon,%2016%20May%202022%2006:42:55%20GMT	https://demo.egenslab.com/html/creasoft/preview/project.html	C:/Users/PC/Downloads/final%20one/demo.egenslab.com/html/creasoft/preview/project.html	(from https://demo.egenslab.com/html/creasoft/preview/index.html)
15:19:57	15292/15292	---MCZ	200	added ('OK')	text/html	date:Mon,%2016%20May%202022%2006:42:56%20GMT	https://demo.egenslab.com/html/creasoft/preview/project-details.html	C:/Users/PC/Downloads/final%20one/demo.egenslab.com/html/creasoft/preview/project-details.html	(from https://demo.egenslab.com/html/creasoft/preview/index.html)
15:19:58	15663/15663	---MCZ	200	added ('OK')	text/html	date:Mon,%2016%20May%202022%2006:42:51%20GMT	https://demo.egenslab.com/html/creasoft/preview/blog.html	C:/Users/PC/Downloads/final%20one/demo.egenslab.com/html/creasoft/preview/blog.html	(from https://demo.egenslab.com/html/creasoft/preview/index.html)
15:19:58	13220/13220	---MCZ	200	added ('OK')	text/html	date:Mon,%2016%20May%202022%2006:42:52%20GMT	https://demo.egenslab.com/html/creasoft/preview/blog-standard.html	C:/Users/PC/Downloads/final%20one/demo.egenslab.com/html/creasoft/preview/blog-standard.html	(from https://demo.egenslab.com/html/creasoft/preview/index.html)
15:20:00	16934/16934	---MCZ	200	added ('OK')	text/html	date:Mon,%2016%20May%202022%2006:42:51%20GMT	https://demo.egenslab.com/html/creasoft/preview/blog-details.html	C:/Users/PC/Downloads/final%20one/demo.egenslab.com/html/creasoft/preview/blog-details.html	(from https://demo.egenslab.com/html/creasoft/preview/index.html)
15:20:00	11618/11618	---MCZ	200	added ('OK')	text/html	date:Mon,%2016%20May%202022%2006:42:57%20GMT	https://demo.egenslab.com/html/creasoft/preview/team.html	C:/Users/PC/Downloads/final%20one/demo.egenslab.com/html/creasoft/preview/team.html	(from https://demo.egenslab.com/html/creasoft/preview/index.html)
15:20:00	13514/13514	---MCZ	200	added ('OK')	text/html	date:Mon,%2016%20May%202022%2006:42:55%20GMT	https://demo.egenslab.com/html/creasoft/preview/pricing.html	C:/Users/PC/Downloads/final%20one/demo.egenslab.com/html/creasoft/preview/pricing.html	(from https://demo.egenslab.com/html/creasoft/preview/index.html)
15:20:00	24777/24777	---MCZ	200	added ('OK')	text/html	date:Mon,%2016%20May%202022%2006:42:53%20GMT	https://demo.egenslab.com/html/creasoft/preview/faq.html	C:/Users/PC/Downloads/final%20one/demo.egenslab.com/html/creasoft/preview/faq.html	(from https://demo.egenslab.com/html/creasoft/preview/index.html)
15:20:01	8038/8038	---MCZ	200	added ('OK')	text/html	date:Mon,%2016%20May%202022%2006:42:53%20GMT	https://demo.egenslab.com/html/creasoft/preview/error.html	C:/Users/PC/Downloads/final%20one/demo.egenslab.com/html/creasoft/preview/error.html	(from https://demo.egenslab.com/html/creasoft/preview/index.html)
15:20:01	10844/10844	---MCZ	200	added ('OK')	text/html	date:Mon,%2016%20May%202022%2006:42:52%20GMT	https://demo.egenslab.com/html/creasoft/preview/contact.html	C:/Users/PC/Downloads/final%20one/demo.egenslab.com/html/creasoft/preview/contact.html	(from https://demo.egenslab.com/html/creasoft/preview/index.html)
15:20:01	3872/3872	---M--	200	added ('OK')	image/png	etag:%226281f38b-f20%22	https://demo.egenslab.com/html/creasoft/preview/assets/img/icons/service-icon-1.png	C:/Users/PC/Downloads/final%20one/demo.egenslab.com/html/creasoft/preview/assets/img/icons/service-icon-1.png	(from https://demo.egenslab.com/html/creasoft/preview/index.html)
15:20:01	4928/4928	---M--	200	added ('OK')	image/png	etag:%226281f38b-1340%22	https://demo.egenslab.com/html/creasoft/preview/assets/img/icons/service-icon-2.png	C:/Users/PC/Downloads/final%20one/demo.egenslab.com/html/creasoft/preview/assets/img/icons/service-icon-2.png	(from https://demo.egenslab.com/html/creasoft/preview/index.html)
15:20:01	327024/327024	---M--	200	added ('OK')	image/jpeg	etag:%226281f286-4fd70%22	https://demo.egenslab.com/html/creasoft/preview/assets/img/hero-banner.jpg	C:/Users/PC/Downloads/final%20one/demo.egenslab.com/html/creasoft/preview/assets/img/hero-banner.jpg	(from https://demo.egenslab.com/html/creasoft/preview/index.html)
15:20:02	4710/4710	---M--	200	added ('OK')	image/png	etag:%226281f391-1266%22	https://demo.egenslab.com/html/creasoft/preview/assets/img/icons/service-icon-3.png	C:/Users/PC/Downloads/final%20one/demo.egenslab.com/html/creasoft/preview/assets/img/icons/service-icon-3.png	(from https://demo.egenslab.com/html/creasoft/preview/index.html)
15:20:02	114651/114651	---M--	200	added ('OK')	image/jpeg	etag:%226281f27b-1bfdb%22	https://demo.egenslab.com/html/creasoft/preview/assets/img/about-baner-1.jpg	C:/Users/PC/Downloads/final%20one/demo.egenslab.com/html/creasoft/preview/assets/img/about-baner-1.jpg	(from https://demo.egenslab.com/html/creasoft/preview/index.html)
15:20:02	34807/34807	---M--	200	added ('OK')	image/jpeg	etag:%226281f27b-87f7%22	https://demo.egenslab.com/html/creasoft/preview/assets/img/about-baner-2.jpg	C:/Users/PC/Downloads/final%20one/demo.egenslab.com/html/creasoft/preview/assets/img/about-baner-2.jpg	(from https://demo.egenslab.com/html/creasoft/preview/index.html)
15:20:03	4512/4512	---M--	200	added ('OK')	image/png	etag:%226281f378-11a0%22	https://demo.egenslab.com/html/creasoft/preview/assets/img/icons/feature-icon-1.png	C:/Users/PC/Downloads/final%20one/demo.egenslab.com/html/creasoft/preview/assets/img/icons/feature-icon-1.png	(from https://demo.egenslab.com/html/creasoft/preview/index.html)
15:20:03	5204/5204	---M--	200	added ('OK')	image/png	etag:%226281f37a-1454%22	https://demo.egenslab.com/html/creasoft/preview/assets/img/icons/feature-icon-2.png	C:/Users/PC/Downloads/final%20one/demo.egenslab.com/html/creasoft/preview/assets/img/icons/feature-icon-2.png	(from https://demo.egenslab.com/html/creasoft/preview/index.html)
15:20:03	4825/4825	---M--	200	added ('OK')	image/png	etag:%226281f37a-12d9%22	https://demo.egenslab.com/html/creasoft/preview/assets/img/icons/feature-icon-3.png	C:/Users/PC/Downloads/final%20one/demo.egenslab.com/html/creasoft/preview/assets/img/icons/feature-icon-3.png	(from https://demo.egenslab.com/html/creasoft/preview/index.html)
15:20:04	4277/4277	---M--	200	added ('OK')	image/png	etag:%226281f37d-10b5%22	https://demo.egenslab.com/html/creasoft/preview/assets/img/icons/feature-icon-4.png	C:/Users/PC/Downloads/final%20one/demo.egenslab.com/html/creasoft/preview/assets/img/icons/feature-icon-4.png	(from https://demo.egenslab.com/html/creasoft/preview/index.html)
15:20:04	106484/106484	---M--	200	added ('OK')	image/jpeg	etag:%226281f3a3-19ff4%22	https://demo.egenslab.com/html/creasoft/preview/assets/img/project/project-1.jpg	C:/Users/PC/Downloads/final%20one/demo.egenslab.com/html/creasoft/preview/assets/img/project/project-1.jpg	(from https://demo.egenslab.com/html/creasoft/preview/index.html)
15:20:04	115820/115820	---M--	200	added ('OK')	image/jpeg	etag:%226281f3b1-1c46c%22	https://demo.egenslab.com/html/creasoft/preview/assets/img/project/project-2.jpg	C:/Users/PC/Downloads/final%20one/demo.egenslab.com/html/creasoft/preview/assets/img/project/project-2.jpg	(from https://demo.egenslab.com/html/creasoft/preview/index.html)
15:20:05	106881/106881	---M--	200	added ('OK')	image/jpeg	etag:%226281f3b1-1a181%22	https://demo.egenslab.com/html/creasoft/preview/assets/img/project/project-3.jpg	C:/Users/PC/Downloads/final%20one/demo.egenslab.com/html/creasoft/preview/assets/img/project/project-3.jpg	(from https://demo.egenslab.com/html/creasoft/preview/index.html)
15:20:05	40719/40719	---M--	200	added ('OK')	image/jpeg	etag:%226281f3b2-9f0f%22	https://demo.egenslab.com/html/creasoft/preview/assets/img/project/project-4.jpg	C:/Users/PC/Downloads/final%20one/demo.egenslab.com/html/creasoft/preview/assets/img/project/project-4.jpg	(from https://demo.egenslab.com/html/creasoft/preview/index.html)
15:20:05	123089/123089	---M--	200	added ('OK')	image/jpeg	etag:%226281f3b8-1e0d1%22	https://demo.egenslab.com/html/creasoft/preview/assets/img/project/project-5.jpg	C:/Users/PC/Downloads/final%20one/demo.egenslab.com/html/creasoft/preview/assets/img/project/project-5.jpg	(from https://demo.egenslab.com/html/creasoft/preview/index.html)
15:20:05	96298/96298	---M--	200	added ('OK')	image/jpeg	etag:%226281f3bb-1782a%22	https://demo.egenslab.com/html/creasoft/preview/assets/img/project/project-6.jpg	C:/Users/PC/Downloads/final%20one/demo.egenslab.com/html/creasoft/preview/assets/img/project/project-6.jpg	(from https://demo.egenslab.com/html/creasoft/preview/index.html)
15:20:06	2838/2838	---M--	200	added ('OK')	image/png	etag:%226281f396-b16%22	https://demo.egenslab.com/html/creasoft/preview/assets/img/partner/partner-1.png	C:/Users/PC/Downloads/final%20one/demo.egenslab.com/html/creasoft/preview/assets/img/partner/partner-1.png	(from https://demo.egenslab.com/html/creasoft/preview/index.html)
15:20:07	2106/2106	---M--	200	added ('OK')	image/png	etag:%226281f396-83a%22	https://demo.egenslab.com/html/creasoft/preview/assets/img/partner/partner-2.png	C:/Users/PC/Downloads/final%20one/demo.egenslab.com/html/creasoft/preview/assets/img/partner/partner-2.png	(from https://demo.egenslab.com/html/creasoft/preview/index.html)
15:20:07	2297/2297	---M--	200	added ('OK')	image/png	etag:%226281f396-8f9%22	https://demo.egenslab.com/html/creasoft/preview/assets/img/partner/partner-3.png	C:/Users/PC/Downloads/final%20one/demo.egenslab.com/html/creasoft/preview/assets/img/partner/partner-3.png	(from https://demo.egenslab.com/html/creasoft/preview/index.html)
15:20:07	1674/1674	---M--	200	added ('OK')	image/png	etag:%226281f398-68a%22	https://demo.egenslab.com/html/creasoft/preview/assets/img/partner/partner-4.png	C:/Users/PC/Downloads/final%20one/demo.egenslab.com/html/creasoft/preview/assets/img/partner/partner-4.png	(from https://demo.egenslab.com/html/creasoft/preview/index.html)
15:20:08	2477/2477	---M--	200	added ('OK')	image/png	etag:%226281f398-9ad%22	https://demo.egenslab.com/html/creasoft/preview/assets/img/partner/partner-5.png	C:/Users/PC/Downloads/final%20one/demo.egenslab.com/html/creasoft/preview/assets/img/partner/partner-5.png	(from https://demo.egenslab.com/html/creasoft/preview/index.html)
15:20:08	11227/11227	---M--	200	added ('OK')	image/jpeg	etag:%226281f289-2bdb%22	https://demo.egenslab.com/html/creasoft/preview/assets/img/reivewer.jpg	C:/Users/PC/Downloads/final%20one/demo.egenslab.com/html/creasoft/preview/assets/img/reivewer.jpg	(from https://demo.egenslab.com/html/creasoft/preview/index.html)
15:20:09	16230/16230	---M--	200	added ('OK')	image/jpeg	etag:%226281f289-3f66%22	https://demo.egenslab.com/html/creasoft/preview/assets/img/reivewer-1.jpg	C:/Users/PC/Downloads/final%20one/demo.egenslab.com/html/creasoft/preview/assets/img/reivewer-1.jpg	(from https://demo.egenslab.com/html/creasoft/preview/index.html)
15:20:09	83875/83875	---M--	200	added ('OK')	image/jpeg	etag:%226281f3c0-147a3%22	https://demo.egenslab.com/html/creasoft/preview/assets/img/team/team-1.jpg	C:/Users/PC/Downloads/final%20one/demo.egenslab.com/html/creasoft/preview/assets/img/team/team-1.jpg	(from https://demo.egenslab.com/html/creasoft/preview/index.html)
15:20:09	115744/115744	---M--	200	added ('OK')	image/jpeg	etag:%226281f3c0-1c420%22	https://demo.egenslab.com/html/creasoft/preview/assets/img/team/team-2.jpg	C:/Users/PC/Downloads/final%20one/demo.egenslab.com/html/creasoft/preview/assets/img/team/team-2.jpg	(from https://demo.egenslab.com/html/creasoft/preview/index.html)
15:20:09	134674/134674	---M--	200	added ('OK')	image/jpeg	etag:%226281f3c2-20e12%22	https://demo.egenslab.com/html/creasoft/preview/assets/img/team/team-3.jpg	C:/Users/PC/Downloads/final%20one/demo.egenslab.com/html/creasoft/preview/assets/img/team/team-3.jpg	(from https://demo.egenslab.com/html/creasoft/preview/index.html)
15:20:10	133215/133215	---M--	200	added ('OK')	image/jpeg	etag:%226281f2ad-2085f%22	https://demo.egenslab.com/html/creasoft/preview/assets/img/blog/blog-1.jpg	C:/Users/PC/Downloads/final%20one/demo.egenslab.com/html/creasoft/preview/assets/img/blog/blog-1.jpg	(from https://demo.egenslab.com/html/creasoft/preview/index.html)
15:20:10	87135/87135	---M--	200	added ('OK')	image/jpeg	etag:%226281f2c2-1545f%22	https://demo.egenslab.com/html/creasoft/preview/assets/img/blog/blog-2.jpg	C:/Users/PC/Downloads/final%20one/demo.egenslab.com/html/creasoft/preview/assets/img/blog/blog-2.jpg	(from https://demo.egenslab.com/html/creasoft/preview/index.html)
15:20:10	95782/95782	---M--	200	added ('OK')	image/jpeg	etag:%226281f2c3-17626%22	https://demo.egenslab.com/html/creasoft/preview/assets/img/blog/blog-3.jpg	C:/Users/PC/Downloads/final%20one/demo.egenslab.com/html/creasoft/preview/assets/img/blog/blog-3.jpg	(from https://demo.egenslab.com/html/creasoft/preview/index.html)
15:20:10	282/282	---MCZ	403	error ('Forbidden')	text/html	date:Fri,%2031%20May%202024%2014:20:08%20GMT	https://demo.egenslab.com/html/creasoft/preview/services.html	C:/Users/PC/Downloads/final%20one/demo.egenslab.com/html/creasoft/preview/services.html	(from https://demo.egenslab.com/html/creasoft/preview/index.html)
15:20:11	1239/1239	---MCZ	200	added ('OK')	application/javascript	etag:W/%226650ac81-4d7%22	https://demo.egenslab.com/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	C:/Users/PC/Downloads/final%20one/demo.egenslab.com/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	(from https://demo.egenslab.com/html/creasoft/preview/index.html)
15:20:11	89503/89503	---MCZ	200	added ('OK')	application/javascript	etag:W/%226281f292-15d9f%22	https://demo.egenslab.com/html/creasoft/preview/assets/js/jquery-3.6.0.min.js	C:/Users/PC/Downloads/final%20one/demo.egenslab.com/html/creasoft/preview/assets/js/jquery-3.6.0.min.js	(from https://demo.egenslab.com/html/creasoft/preview/index.html)
15:20:11	18801/18801	---MCZ	200	added ('OK')	application/javascript	etag:W/%226281f295-4971%22	https://demo.egenslab.com/html/creasoft/preview/assets/js/popper.min.js	C:/Users/PC/Downloads/final%20one/demo.egenslab.com/html/creasoft/preview/assets/js/popper.min.js	(from https://demo.egenslab.com/html/creasoft/preview/index.html)
15:20:11	59225/59225	---MCZ	200	added ('OK')	application/javascript	etag:W/%226281f291-e759%22	https://demo.egenslab.com/html/creasoft/preview/assets/js/bootstrap.min.js	C:/Users/PC/Downloads/final%20one/demo.egenslab.com/html/creasoft/preview/assets/js/bootstrap.min.js	(from https://demo.egenslab.com/html/creasoft/preview/index.html)
15:20:12	135925/135925	---MCZ	200	added ('OK')	application/javascript	etag:W/%226281f295-212f5%22	https://demo.egenslab.com/html/creasoft/preview/assets/js/swiper-bundle.min.js	C:/Users/PC/Downloads/final%20one/demo.egenslab.com/html/creasoft/preview/assets/js/swiper-bundle.min.js	(from https://demo.egenslab.com/html/creasoft/preview/index.html)
15:20:12	9034/9034	---MCZ	200	added ('OK')	application/javascript	etag:W/%226281f295-234a%22	https://demo.egenslab.com/html/creasoft/preview/assets/js/waypoints.min.js	C:/Users/PC/Downloads/final%20one/demo.egenslab.com/html/creasoft/preview/assets/js/waypoints.min.js	(from https://demo.egenslab.com/html/creasoft/preview/index.html)
15:20:12	1074/1074	---MCZ	200	added ('OK')	application/javascript	etag:W/%226281f292-432%22	https://demo.egenslab.com/html/creasoft/preview/assets/js/jquery.counterup.min.js	C:/Users/PC/Downloads/final%20one/demo.egenslab.com/html/creasoft/preview/assets/js/jquery.counterup.min.js	(from https://demo.egenslab.com/html/creasoft/preview/index.html)
15:20:12	35456/35456	---MCZ	200	added ('OK')	application/javascript	etag:W/%226281f292-8a80%22	https://demo.egenslab.com/html/creasoft/preview/assets/js/isotope.pkgd.min.js	C:/Users/PC/Downloads/final%20one/demo.egenslab.com/html/creasoft/preview/assets/js/isotope.pkgd.min.js	(from https://demo.egenslab.com/html/creasoft/preview/index.html)
15:20:13	20219/20219	---MCZ	200	added ('OK')	application/javascript	etag:W/%226281f294-4efb%22	https://demo.egenslab.com/html/creasoft/preview/assets/js/jquery.magnific-popup.min.js	C:/Users/PC/Downloads/final%20one/demo.egenslab.com/html/creasoft/preview/assets/js/jquery.magnific-popup.min.js	(from https://demo.egenslab.com/html/creasoft/preview/index.html)
15:20:13	8157/8157	---MCZ	200	added ('OK')	application/javascript	etag:W/%226281f296-1fdd%22	https://demo.egenslab.com/html/creasoft/preview/assets/js/wow.min.js	C:/Users/PC/Downloads/final%20one/demo.egenslab.com/html/creasoft/preview/assets/js/wow.min.js	(from https://demo.egenslab.com/html/creasoft/preview/index.html)
15:20:14	3871/3871	---MCZ	200	added ('OK')	application/javascript	etag:W/%226281f291-1c20%22	https://demo.egenslab.com/html/creasoft/preview/assets/js/custom.js	C:/Users/PC/Downloads/final%20one/demo.egenslab.com/html/creasoft/preview/assets/js/custom.js	(from https://demo.egenslab.com/html/creasoft/preview/index.html)
15:20:14	102536/102536	---M--	200	added ('OK')	application/font-woff2	etag:%226281f29d-19088%22	https://demo.egenslab.com/html/creasoft/preview/assets/webfonts/bootstrap-icons.woff2?e2f6e48459d8b0f394eea57aba940179	C:/Users/PC/Downloads/final%20one/demo.egenslab.com/html/creasoft/preview/assets/webfonts/bootstrap-iconsbe27.woff2	(from https://demo.egenslab.com/html/creasoft/preview/assets/css/bootstrap-icons.css)
15:20:15	137124/137124	---MCZ	200	added ('OK')	application/font-woff	etag:W/%226281f29f-217a4%22	https://demo.egenslab.com/html/creasoft/preview/assets/webfonts/bootstrap-icons.woff?e2f6e48459d8b0f394eea57aba940179	C:/Users/PC/Downloads/final%20one/demo.egenslab.com/html/creasoft/preview/assets/webfonts/bootstrap-iconsbe27.woff	(from https://demo.egenslab.com/html/creasoft/preview/assets/css/bootstrap-icons.css)
15:20:15	134294/134294	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%226281f29e-20c96%22	https://demo.egenslab.com/html/creasoft/preview/assets/webfonts/fa-brands-400.eot	C:/Users/PC/Downloads/final%20one/demo.egenslab.com/html/creasoft/preview/assets/webfonts/fa-brands-400.eot	(from https://demo.egenslab.com/html/creasoft/preview/assets/css/all.min.css)
15:20:15	134294/134294	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%226281f29e-20c96%22	https://demo.egenslab.com/html/creasoft/preview/assets/webfonts/fa-brands-400.eot?	C:/Users/PC/Downloads/final%20one/demo.egenslab.com/html/creasoft/preview/assets/webfonts/fa-brands-400d41d.eot	(from https://demo.egenslab.com/html/creasoft/preview/assets/css/all.min.css)
15:20:15	76736/76736	---M--	200	added ('OK')	application/font-woff2	etag:%226281f2a4-12bc0%22	https://demo.egenslab.com/html/creasoft/preview/assets/webfonts/fa-brands-400.woff2	C:/Users/PC/Downloads/final%20one/demo.egenslab.com/html/creasoft/preview/assets/webfonts/fa-brands-400.woff2	(from https://demo.egenslab.com/html/creasoft/preview/assets/css/all.min.css)
15:20:16	89988/89988	---MCZ	200	added ('OK')	application/font-woff	etag:W/%226281f2a3-15f84%22	https://demo.egenslab.com/html/creasoft/preview/assets/webfonts/fa-brands-400.woff	C:/Users/PC/Downloads/final%20one/demo.egenslab.com/html/creasoft/preview/assets/webfonts/fa-brands-400.woff	(from https://demo.egenslab.com/html/creasoft/preview/assets/css/all.min.css)
15:20:16	133988/133988	---M--	200	added ('OK')	application/octet-stream	etag:%226281f2a4-20b64%22	https://demo.egenslab.com/html/creasoft/preview/assets/webfonts/fa-brands-400.ttf	C:/Users/PC/Downloads/final%20one/demo.egenslab.com/html/creasoft/preview/assets/webfonts/fa-brands-400.ttf	(from https://demo.egenslab.com/html/creasoft/preview/assets/css/all.min.css)
15:20:16	751644/751644	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%226281f2a3-b781c%22	https://demo.egenslab.com/html/creasoft/preview/assets/webfonts/fa-brands-400.svg	C:/Users/PC/Downloads/final%20one/demo.egenslab.com/html/creasoft/preview/assets/webfonts/fa-brands-400.svg	(from https://demo.egenslab.com/html/creasoft/preview/assets/css/all.min.css)
15:20:17	34034/34034	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%226281f2a5-84f2%22	https://demo.egenslab.com/html/creasoft/preview/assets/webfonts/fa-regular-400.eot	C:/Users/PC/Downloads/final%20one/demo.egenslab.com/html/creasoft/preview/assets/webfonts/fa-regular-400.eot	(from https://demo.egenslab.com/html/creasoft/preview/assets/css/all.min.css)
15:20:17	34034/34034	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%226281f2a5-84f2%22	https://demo.egenslab.com/html/creasoft/preview/assets/webfonts/fa-regular-400.eot?	C:/Users/PC/Downloads/final%20one/demo.egenslab.com/html/creasoft/preview/assets/webfonts/fa-regular-400d41d.eot	(from https://demo.egenslab.com/html/creasoft/preview/assets/css/all.min.css)
15:20:18	13224/13224	---M--	200	added ('OK')	application/font-woff2	etag:%226281f2a7-33a8%22	https://demo.egenslab.com/html/creasoft/preview/assets/webfonts/fa-regular-400.woff2	C:/Users/PC/Downloads/final%20one/demo.egenslab.com/html/creasoft/preview/assets/webfonts/fa-regular-400.woff2	(from https://demo.egenslab.com/html/creasoft/preview/assets/css/all.min.css)
15:20:18	16276/16276	---MCZ	200	added ('OK')	application/font-woff	etag:W/%226281f2a6-3f94%22	https://demo.egenslab.com/html/creasoft/preview/assets/webfonts/fa-regular-400.woff	C:/Users/PC/Downloads/final%20one/demo.egenslab.com/html/creasoft/preview/assets/webfonts/fa-regular-400.woff	(from https://demo.egenslab.com/html/creasoft/preview/assets/css/all.min.css)
15:20:18	33736/33736	---M--	200	added ('OK')	application/octet-stream	etag:%226281f2a6-83c8%22	https://demo.egenslab.com/html/creasoft/preview/assets/webfonts/fa-regular-400.ttf	C:/Users/PC/Downloads/final%20one/demo.egenslab.com/html/creasoft/preview/assets/webfonts/fa-regular-400.ttf	(from https://demo.egenslab.com/html/creasoft/preview/assets/css/all.min.css)
15:20:18	145515/145515	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%226281f2a5-2386b%22	https://demo.egenslab.com/html/creasoft/preview/assets/webfonts/fa-regular-400.svg	C:/Users/PC/Downloads/final%20one/demo.egenslab.com/html/creasoft/preview/assets/webfonts/fa-regular-400.svg	(from https://demo.egenslab.com/html/creasoft/preview/assets/css/all.min.css)
